Date,SingleSend ID,SingleSend Name,Variation,Phase,Requests,Delivered,Total Opens,Daily Total Open Rate,Cumulative Total Open Rate,Unique Opens,Daily Unique Open Rate,Cumulative Unique Open Rate,Total Clicks,Daily Total Click Rate,Cumulative Total Click Rate,Unique Clicks,Daily Unique Click Rate,Cumulative Unique Click Rate,Daily Unique Click-to-Open Rate,Daily Total Click-to-Open Rate,Bounces,Daily Bounce Rate,Cumulative Bounce Rate,Bounce Drops,Spam Reports,Daily Spam Reports Rate,Cumulative Spam Reports Rate,Spam Report Drops,Unsubscribes,Daily Unsubscribe Rate,Cumulative Unsubscribe Rate
02/26/2025,5b2b50dd-f417-11ef-a7af-0604389ca471,D3 Vendors Emailer for Offers Updates,N/A,send,24,21,10,47.62%,47.62%,7,33.33%,33.33%,47,223.81%,223.81%,5,23.81%,23.81%,71.43%,470.00%,3,12.50%,12.50%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
D3 Vendors Emailer for Offers Updates TOTAL,,,all,all,24,21,10,47.62%,47.62%,7,33.33%,23.81%,47,223.81%,223.81%,5,23.81%,33.33%,71.43%,470.00%,3,12.50%,12.50%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
